order_id,orderrad_id,orderdatum,önskat_leveransdatum,faktiskt_leveransdatum,produkt_id,produktnamn,kategori,säsong,antal,pris,vikt_gram,leveranszon,kund_id,recension_text,recensionsdatum,betyg
GG-2024-00001,GG-2024-00001-1,2024-01-01,2024-01-05,2024-01-05,PLT-INO-003,Gullranka ampel,Inomhusväxter,Alla,2,129.0,500,Zon 3,KUND-10912,"Varken bra eller dåligt, gör jobbet.",2024-01-10,3
GG-2024-00002,GG-2024-00002-1,2024-01-07,2024-01-12,2024-01-12,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,3,49.0,5,Zon 3,KUND-14597,Paketet såg ut att ha kastats från lastbilen.,2024-01-19,2
GG-2024-00002,GG-2024-00002-2,2024-01-07,2024-01-12,2024-01-12,PLT-INO-001,Monstera deliciosa,Inomhusväxter,Alla,3,299.0,2000 gram,Zon 3,KUND-14597,"Helt okej, men hittade billigare i lokal butik.",2024-02-11,3
GG-2024-00002,GG-2024-00002-3,7 januari 2024,2024-01-12,2024-01-12,JOR-NAR-001,Näring 1L,Jord & näring,Alla,2 st,99.0,1100,Zon 3,KUND-14597,,,
GG-2024-00003,GG-2024-00003-1,2024-01-04,2024-01-13,2024-01-03,FRO-ORT-001,Örter mix,Frön,Vår,2,59.0,15,Zon 5,KUND-14392,"Min monstera är fantastisk, så stor och fin!",2024-01-25,4
GG-2024-00003,GG-2024-00003-2,2024-01-04,13/01/2024,2024-01-13,PLT-INO-003,Gullranka ampel,Inomhusväxter,Alla,1,129.0,500,Zon 5,KUND-14392,Bästa fröerna jag testat. Hög grobarhet.,2024-01-30,5
GG-2024-00004,GG-2024-00004-1,2024-01-22,,2024-01-24,JOR-NAR-001,Flytande näring 1L,Jord & näring,,2,99.0,1100,Zon 1,KUND-10912,,,
GG-2024-00004,GG-2024-00004-2,2024-01-22,2024-01-24,2024-01-24,VER-VAN-001,Vattenkanna,Verktyg & tillbehör,Alla,1,179.0,600,Zon 1,KUND-10912,,,
GG-2024-00004,GG-2024-00004-3,2024-01-22,,2024-01-24,JOR-PLA-001,Blomjord 50L,Jord & näring,Vår,1,149.0,25000,Z1,KUND-10912,"Plantorna var i perfekt skick, rekommenderas varmt.",2024-01-28,5
GG-2024-00004,GG-2024-00004-4,2024-01-22,2024-01-24,2024-01-24,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,2,179.0,600,Zon 1,KUND-10912,Kommer definitivt beställa igen nästa säsong.,2024-02-14,5
